INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
Empire Beauty School-Savannah,Savannah,GA,31406-2455,,,,,,1.0,0.5486,0.6701,0.7531,157.0,0.0446,0.9554,0.4837,0.1083,0.586,0.0637,0.0064,0.0,0.0,0.0255,0.0,0.2102,6222,6222,0.5064615385,21038.442359,12594.5,62.7999992370605,6.30999994277954,,21096.0
Ogle School Hair Skin Nails-Denton,Denton,TX,76205-7534,,,,,,1.0,0.6316,0.5602,0.7969,164.0,0.0244,0.9756,0.3836,0.439,0.2073,0.2317,0.0122,0.0061,0.0,0.0732,0.0,0.0305,7916,7592,0.4918533605,31220.076596,19379,87.2099990844726,3.24000000953674,,23650.0
Empire Beauty School-West Greensboro,Greensboro,NC,27407-2693,,,,,,1.0,0.5153,0.6071,0.6833,104.0,0.0673,0.9327,0.4211,0.0962,0.8269,0.0288,0.0,0.0,0.0,0.0192,0.0,0.0288,7010,7740,0.5482142857,21764.312442,13614,83.9000015258789,2.63000011444091,,20349.0
Hays Academy of Hair Design,Salina,KS,67401-0000,,,,,,1.0,0.5132,0.4868,0.5686,74.0,0.0405,0.9595,0.3273,0.7297,0.0135,0.0946,0.0135,0.027,0.0,0.0811,0.0,0.0405,9833,9833,0.4353741497,38189.692771,24157,97.6100006103515,2.57999992370605,,17071.0
Bellus Academy,Manhattan,KS,66502-2838,,,,,,1.0,0.5115,0.4393,0.7215,203.0,0.0296,0.9704,0.325,0.67,0.0887,0.133,0.0099,0.0197,0.0049,0.069,0.0,0.0049,6333,6333,0.4360902256,35767.330739,23753,78.8399963378906,3.06999993324279,,27809.0
MotoRing Technical Training Institute,East Providence,RI,02914-5022,,,,,,1.0,0.5612,0.4029,0.5914,113.0,0.9469,0.0531,0.3485,0.5664,0.0973,0.2655,0.0354,0.0,0.0,0.0265,0.0,0.0088,9399,5500,0.5171026157,30590.176375,19612.5,80.4100036621093,4.13000011444091,,22280.0
Unitek College,Hayward,CA,94541-7026,,,,,,1.0,0.5323,0.4051,0.4206,289.0,0.1419,0.8581,0.5955,0.0242,0.0623,0.2284,0.2318,0.0035,0.0173,0.0069,0.0,0.4256,9500,12806,0.3906633907,43327.278586,30776,,,,29953.0
Pennsylvania State University-World Campus,University Park,PA,16802-1503,0.69702074056714,5.0,1158.0,21.0,29.0,2.0,0.4105,0.2942,0.4169,7798.0,0.4699,0.5301,,0.648,0.0763,0.1163,0.056,0.0024,0.0024,0.0421,0.0348,0.0217,19500,19500,0.2875652533,82495.088728,61924,93.4300003051757,3.15000009536743,25935.0,
Medical Career Institute,Ocean,NJ,07712,,,,,,1.0,0.5273,0.3773,0.0,142.0,0.1127,0.8873,0.5641,0.5986,0.1479,0.1338,0.0,0.0,0.0,0.007,0.0,0.1127,6196,11581,0.6282722513,26885.728889,17160,,,,
Advance Beauty Techs Academy,San Jacinto,CA,92583-6572,,,,,,1.0,0.6111,0.5889,0.8718,88.0,0.3636,0.6364,0.4537,0.0682,0.1136,0.7614,0.0114,0.0227,0.0227,0.0,0.0,0.0,PS,PS,0.5479452055,20112.504587,14371,,,,22935.0
Elevate Salon Institute-Westminster,Westminster,CO,80031,,,,,,1.0,0.477,0.4885,0.7027,108.0,0.1296,0.8704,0.3663,0.3981,0.037,0.4259,0.0463,0.0,0.0,0.0648,0.0,0.0278,PS,PS,0.5729166667,35283.788991,22601,,,,17587.0
Brand College,Glendale,CA,91203,0.5,3.0,,,,2.0,0.0,0.0,,21.0,0.9048,0.0952,0.4583,0.2381,0.0952,0.2857,0.381,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Hinton Barber and Beauty College,Vallejo,CA,94590,,,,,,1.0,0.6224,0.6633,0.8125,52.0,0.6346,0.3654,0.5185,0.1154,0.2692,0.5,0.0192,0.0192,0.0577,0.0192,0.0,0.0,PS,PS,0.4915254237,25747.643836,20219,,,,15258.0
Advanced Career Institute,Visalia,CA,93291,,,,,,1.0,0.1607,0.1857,0.1575,910.0,0.8462,0.1538,0.6588,0.1725,0.1516,0.6077,0.0286,0.0044,0.0077,0.0044,0.0011,0.022,6229,6229,0.5704697987,17619.523179,12590,,,,
Digital Film Academy,New York,NY,10036,,,,,,1.0,0.2007,0.2862,0.2879,162.0,0.784,0.216,0.8309,0.2469,0.284,0.2593,0.0617,0.0062,0.0,0.0432,0.0988,0.0,5500,6125,0.3555555556,28913.368421,16688.5,,,,40476.0
MyComputerCareer at Raleigh,Raleigh,NC,27606,,,,,,1.0,0.9115,0.7053,0.9534,1251.0,0.753,0.247,0.7596,0.2502,0.506,0.1615,0.0224,0.0096,0.0056,0.0392,0.0,0.0056,9500,9500,0.457354759,36360.790356,27716.5,,,,31408.0
South University-Austin,Round Rock,TX,78681-2300,,,,,,1.0,0.5552,0.5045,0.8182,288.0,0.1701,0.8299,0.7672,0.2431,0.3056,0.3194,0.0347,0.0,0.0069,0.0347,0.0382,0.0174,12883,14576,0.4722883373,29130.921239,20000,91.0699996948242,3.6800000667572,33088.0,
Bryant & Stratton College-Online,Orchard Park,NY,14127,,,,,,1.0,0.8342,0.7599,0.8403,6668.0,0.0937,0.9063,0.7292,0.452,0.4045,0.07,0.0045,0.0111,0.0046,0.0495,0.0,0.0037,9500,10936,0.5378553335,21836.645641,15184,93.1100006103515,4.96999979019165,20491.0,
Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,78216,,,,,,1.0,0.6505,0.6106,0.6582,448.0,0.0335,0.9665,0.5448,0.1429,0.1272,0.6563,0.0112,0.0045,0.0045,0.0424,0.0,0.0112,7916,7592,0.4918533605,31220.076596,19379,87.2099990844726,3.24000000953674,,22947.0
Ideal Beauty Academy,Louisville,KY,40223,,,,,,1.0,0.6452,0.6452,0.7083,12.0,0.0833,0.9167,0.8182,0.4167,0.5,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,22128.351351,18000,,,,23981.0
Warner Pacific University Professional and Graduate Studies,Portland,OR,97215,0.72247706422018,,,,,1.0,0.6693,0.5498,0.0,269.0,0.3197,0.6803,0.9323,0.4387,0.2045,0.171,0.0632,0.026,0.0223,0.0335,0.0,0.0409,19976,22250,0.4658869396,47696.34958,35115,88.6800003051757,4.05999994277954,23400.0,
Platt College-Riverside,Riverside,CA,92507,,,,,,1.0,0.824,0.7339,0.8696,446.0,0.1659,0.8341,0.4292,0.1457,0.0583,0.6861,0.0224,0.0067,0.0022,0.0561,0.0,0.0224,15013,16555,0.5471296953,31226.666114,21293,70.0400009155273,4.98999977111816,31339.0,
Empire Beauty School-Glen Burnie,Glen Burnie,MD,21061,,,,,,1.0,0.5804,0.6294,1.0,81.0,0.0,1.0,0.5366,0.1605,0.6914,0.0988,0.0247,0.0,0.0123,0.0,0.0,0.0123,8028,8028,0.5698717949,21986.05903,14099,92.3300018310547,3.77999997138977,,21631.0
International School of Cosmetology,Scottsdale,AZ,85250,,,,,,1.0,0.4902,0.4314,0.5556,0.0,0.0,0.0,0.3056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10556,12122,0.4490861619,33485.48172,19621,68.3300018310547,5.51000022888183,,22847.0
UEI College-Stockton,Stockton,CA,95207-0000,,,,,,1.0,0.7716,0.7471,0.9492,813.0,0.567,0.433,0.4082,0.0394,0.0418,0.203,0.0148,0.0025,0.0037,0.0123,0.0,0.6827,9500,9500,0.6324638931,16281.634572,10993.5,65.1900024414062,5.38999986648559,,32023.0
Ross Medical Education Center-Dayton,Dayton,OH,45424-6049,,,,,,1.0,0.8681,0.8242,0.8632,82.0,0.061,0.939,0.5357,0.0976,0.2561,0.0,0.0,0.0122,0.0,0.0122,0.0,0.622,9460,5500,0.606741573,24106.897338,15232.5,97.6100006103515,2.74000000953674,,25155.0
Ross Medical Education Center-Ontario,Ontario,OH,44906-1246,,,,,,1.0,0.8246,0.8772,0.7742,37.0,0.027,0.973,0.6429,0.3243,0.1081,0.027,0.0,0.0,0.0,0.027,0.0,0.5135,7750,7221,0.562732342,27520.192989,17342,94.6299972534179,2.60999989509582,,24042.0
Ross Medical Education Center-Bowling Green,Bowling Green,KY,42104-5840,,,,,,1.0,0.6364,0.6234,0.5641,31.0,0.0,1.0,0.3529,0.4516,0.0968,0.0968,0.0323,0.0,0.0,0.0,0.0,0.3226,7599,5500,0.5271170314,25603.605231,16094,97.4000015258789,4.26000022888183,,22758.0
Florida Institute of Technology-Online,Melbourne,FL,32901-6975,0.64593709975807,5.0,,,,2.0,0.5714,0.468,0.6389,776.0,0.375,0.625,0.7814,0.4807,0.1869,0.1869,0.0258,0.0039,0.0026,0.0219,0.0245,0.067,13782,14834,0.4013402829,48405.577075,30032,89.1699981689453,2.88000011444091,28203.0,
Rasmussen University-Kansas,Topeka,KS,66609,,,,,,1.0,0.8969,0.6274,0.85,568.0,0.1232,0.8768,0.729,0.4507,0.2412,0.1127,0.0299,0.0141,0.0035,0.044,0.0,0.1039,12834,13845,0.4757427831,35850.098826,25123.5,95.0800018310547,2.77999997138977,24304.0,
School of Missionary Aviation Technology,Ionia,MI,48846,,,,,,1.0,0.1803,0.2623,0.3226,29.0,0.7241,0.2759,0.5,0.9655,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,PS,PS,PS,37025.391304,31595,,,,17250.0
California Miramar University,San Diego,CA,92108-1739,0.22413793103448,3.0,,,,2.0,0.5294,0.4471,0.7143,99.0,0.8081,0.1919,0.3297,0.1717,0.2222,0.3131,0.0909,0.0303,0.0,0.0909,0.0,0.0808,PS,PS,0.4810126582,27213.645161,22320,,,15394.0,
Rocky Vista University,Parker,CO,80112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The College of Health Care Professions-Dallas,Dallas,TX,75247,,,,,,1.0,0.6785,0.665,0.6891,545.0,0.0991,0.9009,0.4091,0.0734,0.3266,0.4752,0.0239,0.0073,0.0018,0.0477,0.0,0.044,9074,9104,0.6066790353,24041.462687,18699,84.1100006103515,3.05999994277954,,32122.0
The College of Health Care Professions-Fort Worth,Fort Worth,TX,76137-5021,,,,,,1.0,0.7364,0.6611,0.7375,832.0,0.107,0.893,0.449,0.0913,0.0637,0.3065,0.0168,0.006,0.0,0.0132,0.0,0.5024,9450,9500,0.5601286174,26931.291687,19726,79.0,4.38000011444091,,32774.0
Shear Finesse Beauty Academy,Jacksonville,FL,32225,,,,,,1.0,0.6111,0.8519,0.4815,34.0,0.5,0.5,0.5652,0.0294,0.7941,0.0882,0.0588,0.0,0.0,0.0294,0.0,0.0,PS,PS,PS,15345.285714,12408,,,,26798.0
Miami Media School,Doral,FL,33126,,,,,,1.0,0.732,0.8039,0.717,31.0,0.4194,0.5806,0.831,0.129,0.3871,0.4839,0.0,0.0,0.0,0.0,0.0,0.0,9500,9500,0.4326018809,16373.431217,10759,91.8399963378906,3.05999994277954,,35361.0
Academy of Salon Professionals,Sedalia,MO,65301,,,,,,1.0,0.7308,0.6667,0.8824,52.0,0.0962,0.9038,0.125,0.8462,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,26523.571429,24753.5,,,,16569.0
CyberTex Institute of Technology,Austin,TX,78752,,,,,,1.0,0.8023,0.8628,0.8947,171.0,0.4444,0.5556,0.7482,0.3567,0.3158,0.2982,0.0292,0.0,0.0,0.0,0.0,0.0,6776,6838,0.4944812362,23056.078809,17984,,,,26869.0
New England Tractor Trailer Training School of CT-Bridgeport,Bridgeport,CT,06608,,,,,,1.0,0.7289,0.6689,0.917,566.0,0.8781,0.1219,0.8765,0.0795,0.5601,0.341,0.0071,0.0018,0.0,0.0071,0.0,0.0035,6333,6333,0.6749611198,20826.521739,16600.5,83.6500015258789,4.21999979019165,,20964.0
Designer Barber & Stylist School,Fort Smith,AR,72903-3753,,,,,,1.0,0.5556,0.5852,0.7419,88.0,0.8295,0.1705,0.5238,0.2841,0.2841,0.2841,0.0341,0.0227,0.0227,0.0682,0.0,0.0,PS,PS,0.5344827586,20309.22973,14077,,,,21307.0
Paul Mitchell the School-Woodbridge,Woodbridge,VA,22192,,,,,,1.0,0.6444,0.6,0.8077,37.0,0.0,1.0,0.4103,0.5135,0.3243,0.1622,0.0,0.0,0.0,0.0,0.0,0.0,9833,10556,0.4174917492,39432.093352,23659,93.7699966430664,3.25999999046325,,20235.0
College of the Muscogee Nation,Okmulgee,OK,74447-0917,,,,,,1.0,0.0,0.478,0.0,228.0,0.3421,0.6579,0.4049,0.0307,0.0044,0.0526,0.0044,0.7237,0.0,0.1711,0.0,0.0132,PS,PS,0.4205607477,16728.871212,11802.5,,,22620.0,
The Salon Professional Academy-Huntsville,Huntsville,AL,35816,,,,,,1.0,0.6737,0.5053,0.8421,63.0,0.0952,0.9048,0.3051,0.8254,0.1429,0.0159,0.0159,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,24608.662338,14969,,,,21657.0
Midwives College of Utah,Salt Lake City,UT,84106,0.42857142857142,3.0,,,,2.0,0.4008,0.381,0.6,279.0,0.0036,0.9964,0.9206,0.6308,0.147,0.0789,0.0072,0.0215,0.0036,0.0394,0.0,0.0717,PS,PS,0.4150943396,33808.758621,28631.5,,,31922.0,
Aspen Beauty Academy of Laurel,Laurel,MD,20724,,,,,,1.0,0.6509,0.5799,0.8696,116.0,0.0345,0.9655,0.51,0.1034,0.7069,0.069,0.0259,0.0,0.0,0.0517,0.0259,0.0172,PS,PS,0.4918032787,22393.651163,13806.5,,,,15775.0
M T Training Center,Grand Prairie,TX,75051,,,,,,1.0,0.2464,0.2559,0.2353,199.0,0.8291,0.1709,0.8201,0.1759,0.4673,0.3116,0.0201,0.0,0.0,0.0251,0.0,0.0,PS,PS,0.6476683938,13408.761134,7000,,,,20179.0
Berks Career & Technology Center,Leesport,PA,19533-9112,,,,,,1.0,0.4783,0.3261,0.5,41.0,0.7805,0.2195,0.4314,0.7561,0.0244,0.2195,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,47708.545455,37334,,,,26396.0
Future Generations University,Franklin,WV,26807-0000,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,,,,
Carthage R9 School District-Carthage Technical Center,Carthage,MO,64836-1332,,,,,,1.0,0.8837,0.7442,0.75,18.0,0.2222,0.7778,0.5769,0.8333,0.0,0.1111,0.0556,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,25423.487805,20562,,,,23848.0
Grace Mission University,Fullerton,CA,92833-3860,,,,,,1.0,0.0,0.5417,0.0,100.0,0.42,0.58,0.8676,0.0,0.0,0.19,0.81,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,22765.625,21455,,,,
Verve College,Oak Brook,IL,60523,,,,,,,0.2174,0.2841,,226.0,0.0841,0.9159,0.8759,0.0442,0.792,0.1018,0.0619,0.0,0.0,0.0,0.0,0.0,9500,4942,0.5572139303,23478.78157,19063,,,,
Sotheby's Institute of Art-NY,New York,NY,10022-6717,,,,,,,,,,,,,,,,,,,,,,,PS,PS,,,,,,,
Top Nails & Hair Beauty School,Taylorsville,UT,84118-0000,,,,,,1.0,0.0,0.0506,0.0,106.0,0.1887,0.8113,0.6132,0.0755,0.0283,0.1792,0.717,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,15453.985075,14864,,,,
Santa Ana Beauty College,Santa Ana,CA,92706-2321,,,,,,1.0,0.0,0.6389,0.0,83.0,0.1325,0.8675,0.6957,0.0241,0.0,0.5904,0.3855,0.0,0.0,0.0,0.0,0.0,PS,PS,0.7872340426,14089.267176,7901,,,,11573.0
Shepherds College,Union Grove,WI,53182,0.79365079365079,3.0,,,,2.0,0.4483,0.4253,0.4857,86.0,0.4767,0.5233,0.2697,0.7791,0.0233,0.0581,0.0698,0.0,0.0,0.0581,0.0,0.0116,PS,PS,PS,42475.826087,12645,,,,51092.0
Woodruff Medical and Wellness Training,Tucker,GA,30084,,,,,,1.0,0.67,0.6667,0.6058,84.0,0.131,0.869,0.6034,0.0476,0.6667,0.1548,0.0357,0.0,0.0,0.0119,0.0,0.0833,7917,9104,0.5940594059,12372.501946,11106,,,,23817.0
Helms College,Augusta,GA,30907,,,,,,1.0,0.4817,0.4725,0.8636,170.0,0.3882,0.6118,0.5917,0.2882,0.6529,0.0353,0.0118,0.0,0.0,0.0118,0.0,0.0,8208,9289,0.4708994709,23898.900862,15042.5,,,23278.0,
Ukiah Adult School,Ukiah,CA,95482-3865,,3.0,,,,2.0,0.0,0.5556,0.0,32.0,0.1563,0.8438,0.8056,0.5,0.0313,0.3438,0.0,0.0938,0.0,0.0313,0.0,0.0,PS,PS,PS,25807.294118,28020,,,,21979.0
Riverside County Office of Education-School of Career Education,Riverside,CA,92508,,,,,,1.0,0.45,0.7227,0.2756,230.0,0.1522,0.8478,0.4466,0.0478,0.1043,0.7565,0.0217,0.013,0.0043,0.0217,0.0,0.0304,PS,PS,0.6829268293,18504.705882,15262,,,,21491.0
Institute of Health Sciences,Hunt Valley,MD,21031-1408,,,,,,1.0,0.6,0.52,0.549,131.0,0.1374,0.8626,0.688,0.5115,0.4122,0.0,0.0458,0.0153,0.0153,0.0,0.0,0.0,9500,9500,0.4201680672,35001.458015,28369,,,27500.0,
Mid-South Christian College,Memphis,TN,38118-3151,1.0,1.0,,,,2.0,0.0,0.2941,0.0,17.0,0.5882,0.4118,0.3529,0.2353,0.0588,0.2941,0.0,0.0,0.0,0.0,0.4118,0.0,PS,PS,PS,PS,PS,,,20492.0,
New York Institute of Beauty,Islandia,NY,11749-1479,,,,,,1.0,0.3926,0.3326,0.775,248.0,0.0,1.0,0.5407,0.5282,0.0605,0.3065,0.0081,0.004,0.0,0.0323,0.0121,0.0484,5330,4645,0.5319148936,39803.263158,26288,,,,35788.0
Ultrasound Medical Institute,Royal Palm Beach,FL,33411,,,,,,1.0,0.9524,0.9167,1.0,64.0,0.125,0.875,0.8333,0.0625,0.8281,0.0781,0.0156,0.0,0.0,0.0,0.0,0.0156,PS,PS,PS,27642.416667,19704,,,,33653.0
Xavier College School of Nursing,Stockton,CA,95202-1017,,,,,,1.0,0.7244,0.4094,0.3333,88.0,0.25,0.75,0.6579,0.1591,0.0568,0.2727,0.2273,0.0,0.2159,0.0455,0.0,0.0227,16441,16033,0.4392523364,34897.150794,25836.5,,,,21446.0
Lawrence & Company College of Cosmetology,Hanford,CA,93230-4102,,,,,,1.0,0.2472,0.2921,0.386,60.0,0.0167,0.9833,0.4773,0.1833,0.0167,0.7333,0.0333,0.0,0.0,0.0167,0.0,0.0167,PS,PS,0.6533333333,25524.443299,17810,,,,15282.0
Kaizen Beauty Academy,Pembroke Pines,FL,33024-6609,,,,,,1.0,0.1865,0.1865,0.878,82.0,0.0122,0.9878,0.6,0.1951,0.378,0.3537,0.0488,0.0,0.0,0.0,0.0122,0.0122,PS,PS,PS,31729.575,19308.5,,,,
Southern Texas Careers Academy,Mission,TX,78572,,,,,,1.0,0.7586,0.7931,0.7368,48.0,0.0417,0.9583,0.3846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.6617647059,15996.12,13981.5,,,,20705.0
Sharp Edgez Barber Institute,Rochester,NY,14615-0000,,,,,,1.0,0.7178,0.6748,0.95,78.0,0.7436,0.2564,0.4516,0.1923,0.5513,0.1667,0.0,0.0128,0.0,0.0513,0.0,0.0256,PS,PS,0.4755244755,16482.850267,12225,,,,16187.0
The Salon Professional Academy-Nashville,Nashville,TN,37214-2163,,,,,,1.0,0.9808,0.3654,0.9444,45.0,0.0,1.0,0.1522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9823,9667,PS,48519.554054,39159.5,,,,17095.0
Prestige Health & Beauty Sciences Academy,Hallandale Beach,FL,33009,,,,,,1.0,0.0217,0.0543,0.0,69.0,0.087,0.913,0.8824,0.8406,0.0,0.0435,0.1014,0.0,0.0,0.0,0.0145,0.0,PS,PS,0.5322580645,12656.466667,1003,,,,
California Career Institute,Anaheim,CA,92806,,,,,,1.0,0.6937,0.6148,,339.0,0.115,0.885,0.8506,0.059,0.2714,0.4838,0.1416,0.0029,0.0,0.0295,0.0,0.0118,17363,10368,0.4964028777,30832.679144,22486,,,,
Grace School of Theology,Conroe,TX,77384-4894,,,,,,1.0,0.0708,0.1368,0.2,184.0,0.6522,0.3478,0.8632,0.1413,0.163,0.0924,0.0,0.0,0.0109,0.0,0.0,0.5924,PS,PS,PS,25253.628571,23682,,,23565.0,
Yeshiva Gedolah Kesser Torah,Monsey,NY,10952-2127,0.52272727272727,3.0,,,,2.0,0.0,0.3506,0.0,79.0,1.0,0.0,,0.9747,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,PS,PS,PS,43932.130435,38527,,,19300.0,
Universal Training Institute,Perth Amboy,NJ,08861-4106,,,,,,1.0,0.6495,0.4794,0.6228,104.0,0.1442,0.8558,0.8481,0.0481,0.8173,0.0865,0.0481,0.0,0.0,0.0,0.0,0.0,9500,7833,0.780141844,31050.182927,24927,,,,44621.0
Yeshiva Yesodei Hatorah,Lakewood,NJ,08701-4946,0.92592592592592,3.0,,,,2.0,0.0,0.3478,0.0,67.0,1.0,0.0,0.0145,0.9403,0.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.0,PS,PS,PS,38380,36244,,,18586.0,
Center for the Healing Arts,Voorhees,NJ,08043-1911,,,,,,1.0,0.449,0.4082,0.4667,29.0,0.1724,0.8276,0.7097,0.3448,0.2759,0.2759,0.0345,0.0,0.0,0.069,0.0,0.0,PS,PS,0.5,33430.894737,19326,,,,18580.0
Bonnie Joseph Academy of Cosmetology & Barbering,Heber City,UT,84032-2044,,,,,,1.0,0.0857,0.2286,0.0,15.0,0.0667,0.9333,0.2353,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,PS,PS,,,,16107.0
Healthcare Training Institute,Kenner,LA,70062-7630,,,,,,1.0,0.5226,0.2903,1.0,78.0,0.0256,0.9744,0.7885,0.0256,0.9487,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.6705882353,14840.091667,13618,,,,24857.0
J D Academy of Salon and Spa,Danville,CA,94526,,,,,,1.0,0.4409,0.4091,0.6,131.0,0.0153,0.9847,0.4459,0.5115,0.0305,0.1221,0.1221,0.0076,0.0,0.1679,0.0,0.0382,6211,6211,0.3882352941,45236.01,24693.5,,,,
Boca Beauty Academy,Boca Raton,FL,33434-4178,,,,,,1.0,0.853,0.8189,0.9529,111.0,0.045,0.955,0.5183,0.3514,0.2793,0.2703,0.0,0.009,0.0,0.009,0.0,0.0811,5820,6333,0.4826789838,27614.030612,17520,,,,25206.0
City Pointe Beauty Academy,Webb City,MO,64870-2502,,,,,,1.0,0.5912,0.5547,0.7826,91.0,0.0769,0.9231,0.3222,0.8681,0.011,0.044,0.011,0.022,0.0,0.044,0.0,0.0,PS,PS,0.5217391304,28188.938931,16415,,,,17821.0
The Chrysm Institute of Esthetics,Virginia Beach,VA,23452,,,,,,1.0,0.4466,0.3722,0.4516,217.0,0.0046,0.9954,0.6527,0.2719,0.4885,0.0553,0.0553,0.0,0.0,0.129,0.0,0.0,6333,6333,0.3731343284,33467.194444,22311,,,,22408.0
Sanford Burnham Prebys Medical Discovery Institute,La Jolla,CA,92037-1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle Academy of Cosmetology LLC,Waterbury,CT,06704-1035,,,,,,1.0,1.0,1.0,1.0,12.0,0.5,0.5,,0.4167,0.0833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,15093.833333,15761.5,,,,13958.0
Empire Beauty School-Augusta,Augusta,GA,30907-4122,,,,,,1.0,0.5935,0.6911,0.6591,71.0,0.0141,0.9859,0.4706,0.0986,0.6338,0.0423,0.0,0.0,0.0,0.0282,0.0,0.1972,7667,7917,0.5013912076,24748.90189,15061,92.2399978637695,4.15999984741211,,21503.0
South University-High Point,High Point,NC,27265-8320,,,,,,1.0,0.6579,0.5526,1.0,47.0,0.0851,0.9149,0.8421,0.2766,0.5957,0.0213,0.0213,0.0,0.0,0.0638,0.0,0.0213,12883,14576,0.4722883373,29130.921239,20000,91.0699996948242,3.6800000667572,35428.0,
Empire Beauty School-Vernon Hills,Vernon Hills,IL,60061-1519,,,,,,1.0,0.4175,0.4272,0.5806,47.0,0.0638,0.9362,0.3913,0.1702,0.2553,0.4468,0.0213,0.0,0.0,0.0213,0.0,0.0851,7010,7740,0.5482142857,21764.312442,13614,83.9000015258789,2.63000011444091,,19538.0
Empire Beauty School-Stone Park,Stone Park,IL,60165-1010,,,,,,1.0,0.57,0.6473,0.7468,112.0,0.0179,0.9821,0.4252,0.0357,0.6429,0.2589,0.0089,0.0,0.0,0.0268,0.0,0.0268,7010,7740,0.5482142857,21764.312442,13614,83.9000015258789,2.63000011444091,,21779.0
San Joaquin Valley College-Lancaster,Lancaster,CA,93534-7018,,,,,,1.0,0.6496,0.6292,0.763,248.0,0.3024,0.6976,0.399,0.0927,0.2742,0.5524,0.0161,0.004,0.0081,0.0363,0.0,0.0161,9699,10574,0.5905030559,23816.692543,15708,79.4400024414062,6.61999988555908,,26752.0
Empire Beauty School-Rochester,Rochester,NY,14626-3461,,,,,,1.0,0.6087,0.6159,0.6818,73.0,0.0274,0.9726,0.4744,0.2603,0.3014,0.1644,0.0,0.0,0.0,0.0274,0.0,0.2466,6222,6222,0.5064615385,21038.442359,12594.5,62.7999992370605,6.30999994277954,,21803.0
Ross Medical Education Center-Kokomo,Kokomo,IN,46902-3650,,,,,,1.0,0.9167,0.9083,0.8837,55.0,0.0727,0.9273,0.5823,0.2909,0.0909,0.1091,0.0,0.0,0.0,0.0545,0.0,0.4545,9460,5500,0.606741573,24106.897338,15232.5,97.6100006103515,2.74000000953674,,24782.0
Ross Medical Education Center-Erlanger,Erlanger,KY,41018-1279,,,,,,1.0,0.6291,0.5828,0.5663,52.0,0.0385,0.9615,0.3936,0.2885,0.0577,0.0385,0.0,0.0,0.0192,0.0385,0.0192,0.5385,7750,7221,0.562732342,27520.192989,17342,94.6299972534179,2.60999989509582,,23156.0
Ross Medical Education Center-Charleston,Charleston,WV,25304-2816,,,,,,1.0,0.8696,0.7826,0.8846,41.0,0.0244,0.9756,0.2817,0.3902,0.0488,0.0244,0.0,0.0,0.0244,0.0488,0.0,0.4634,5645,5500,0.5740378343,25921.299613,16513,94.620002746582,3.41000008583068,,23795.0
InterCoast Colleges-Fairfield,Fairfield,CA,94534,,,,,,1.0,0.5642,0.4609,0.6069,172.0,0.8256,0.1744,0.5806,0.1163,0.157,0.4767,0.0581,0.0058,0.0698,0.1163,0.0,0.0,9500,9500,0.5428832117,20455.296813,13238,68.0199966430664,4.90999984741211,,27008.0
Southern Careers Institute-San Antonio,San Antonio,TX,78238-4114,,,,,,1.0,0.497,0.5847,0.5708,772.0,0.7189,0.2811,0.5661,0.272,0.1244,0.5518,0.0155,0.0117,0.0026,0.0168,0.0,0.0052,7389,7319,0.6368055556,19220.150898,14258,81.5199966430664,4.86999988555908,,27367.0
